t,x_x,x_y,x_z,x_vx,x_vy,x_vz,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
0.1,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00019888727810650936,0.0,0.0,1.9885909763313668e-05,0.0,0.0,0.0,0.00019888727810650936,0.0,0.0,1.9885909763313668e-05,0.0,0.0,0.0,0.00019888727810650936,0.0,0.0,1.9885909763313668e-05,1.9885909763313668e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9885909763313668e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9885909763313668e-05,0.0,0.0,4e-06
0.105,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.0001992568270971643,0.0,0.0,1.9923347917924026e-05,0.0,0.0,0.0,0.0001992568270971643,0.0,0.0,1.9923347917924026e-05,0.0,0.0,0.0,0.0001992568270971643,0.0,0.0,1.9923347917924026e-05,1.9923347917924026e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9923347917924026e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9923347917924026e-05,0.0,0.0,4e-06
0.11,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00019967173355461715,0.0,0.0,1.9961066686783378e-05,0.0,0.0,0.0,0.00019967173355461715,0.0,0.0,1.9961066686783378e-05,0.0,0.0,0.0,0.00019967173355461715,0.0,0.0,1.9961066686783378e-05,1.9961066686783378e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9961066686783378e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9961066686783378e-05,0.0,0.0,4e-06
0.115,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00020008664001207,0.0,0.0,1.9998785455642727e-05,0.0,0.0,0.0,0.00020008664001207,0.0,0.0,1.9998785455642727e-05,0.0,0.0,0.0,0.00020008664001207,0.0,0.0,1.9998785455642727e-05,1.9998785455642727e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9998785455642727e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9998785455642727e-05,0.0,0.0,4e-06
0.12,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00020028125292630378,0.0,0.0,2.0022656615787972e-05,0.0,0.0,0.0,0.00020028125292630378,0.0,0.0,2.0022656615787972e-05,0.0,0.0,0.0,0.00020028125292630378,0.0,0.0,2.0022656615787972e-05,2.0022656615787972e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0022656615787972e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0022656615787972e-05,0.0,0.0,4e-06
0.125,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00020046853637981047,0.0,0.0,2.004606704747631e-05,0.0,0.0,0.0,0.00020046853637981047,0.0,0.0,2.004606704747631e-05,0.0,0.0,0.0,0.00020046853637981047,0.0,0.0,2.004606704747631e-05,2.004606704747631e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.004606704747631e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.004606704747631e-05,0.0,0.0,4e-06
0.13,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00020065581983331717,0.0,0.0,2.0069477479164646e-05,0.0,0.0,0.0,0.00020065581983331717,0.0,0.0,2.0069477479164646e-05,0.0,0.0,0.0,0.00020065581983331717,0.0,0.0,2.0069477479164646e-05,2.0069477479164646e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0069477479164646e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0069477479164646e-05,0.0,0.0,4e-06
0.135,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00020084310328682387,0.0,0.0,2.0092887910852983e-05,0.0,0.0,0.0,0.00020084310328682387,0.0,0.0,2.0092887910852983e-05,0.0,0.0,0.0,0.00020084310328682387,0.0,0.0,2.0092887910852983e-05,2.0092887910852983e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0092887910852983e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0092887910852983e-05,0.0,0.0,4e-06
0.14,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00020104911914323894,0.0,0.0,2.0118639892904868e-05,0.0,0.0,0.0,0.00020104911914323894,0.0,0.0,2.0118639892904868e-05,0.0,0.0,0.0,0.00020104911914323894,0.0,0.0,2.0118639892904868e-05,2.0118639892904868e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0118639892904868e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0118639892904868e-05,0.0,0.0,4e-06
0.145,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.0002012633092369474,0.0,0.0,2.0145413654618426e-05,0.0,0.0,0.0,0.0002012633092369474,0.0,0.0,2.0145413654618426e-05,0.0,0.0,0.0,0.0002012633092369474,0.0,0.0,2.0145413654618426e-05,2.0145413654618426e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0145413654618426e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0145413654618426e-05,0.0,0.0,4e-06
0.15,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00020147749933065588,0.0,0.0,2.0172187416331985e-05,0.0,0.0,0.0,0.00020147749933065588,0.0,0.0,2.0172187416331985e-05,0.0,0.0,0.0,0.00020147749933065588,0.0,0.0,2.0172187416331985e-05,2.0172187416331985e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0172187416331985e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0172187416331985e-05,0.0,0.0,4e-06
